energy,smiles
-7.4,C[C@H](O)[C@H]1C(C2=CCCCC2)=NNN1Cc1ccc(-n2cccn2)cc1
-5.9,CC(C)(N)C1=NNN(C2=NS(=O)(=O)c3ccccc32)[C@@H]1[C@@]1(C)CO1
-7.0,C=CC1=NNN(Cc2ccc(C)c(C)c2)[C@H]1C1(O)CCNCC1
-6.9,CNCC1=NNN(C2=CC=C3CC=CC=C3N2C)[C@H]1c1cccc(OC)c1
-6.3,COC(=O)[C@H]1C(CC[C@H]2CCCC2=O)=NNN1c1ccc(C(=O)C=O)cc1
-7.0,C[C@H](O)CNCC1=NNN(C2=NS(=O)(=O)c3ccccc32)[C@@H]1c1ccccc1
-6.5,CCOC(=O)C1=NNN(C2=NS(=O)(=O)c3ccccc32)[C@@H]1c1ccc(F)cc1
-7.5,CCOC(=O)[C@H]1C(C)=NNN1Cc1ccc(-n2cccn2)cc1
-6.5,CC[C@@H](O)COCC1=NNN(c2ccc(CO)cc2)[C@@H]1c1ccccc1
-6.7,C#C[C@](C)(c1ccccc1)N1NN=C(CCC(=O)OC)[C@H]1c1ccccc1
-7.3,CCNC(=O)NCC1=NNN(Cc2ccc(-n3cccn3)cc2)[C@@H]1CN(CC)CC
-7.4,COc1ccc(CNn2cnnc2N2NN=C(Cn3cc(NC(=O)C(C)(C)C)cn3)[C@H]2C)cc1
-7.7,C#CC1=C([C@H]2C(C)=NNN2CC(=O)c2cccc(F)c2)CCC1
-6.5,C=CC1=NNN(C2=CC=C3CC=CC=C3N2C)[C@H]1c1ccc(C)nc1
-8.2,CC(C)(O)C1=NNN(C[C@@H]2COc3ccccc3O2)[C@@H]1c1ccc(C=O)s1
-7.2,COc1ccc(C2=NNN(CCc3ccc(-c4ncc[nH]4)cc3)[C@H]2C(=O)O)c(OC)c1
-5.9,CCC[C@@H](O)[C@H]1C(c2ccccc2)=NNN1c1ccc(F)c([N+](=O)[O-])c1
-5.7,CCCCC1=NNN(c2ccc(C(=O)C=O)cc2)[C@H]1C(=O)OC
-8.0,CC1=NNN(CCCN2NN=C3C=CC=C[C@@H]32)[C@H]1C1=C(CO)CCC1
-5.2,C=C[C@H]1C(CC)=NNN1c1ccnc2c(S(C)(=O)=O)cccc12
-6.0,O=S1(=O)N=C(N2NN=C(c3ccccc3)[C@@H]2C(O)(C2CC2)C2CC2)c2ccccc21
-6.3,CC1=NNN(C2=NS(=O)(=O)c3ccccc32)[C@@H]1C1=C(C)CC[C@@H]1C
-5.7,CN1C2=CC=CCC2=CC=C1N1NN=C(C(C)(C)O)[C@H]1[C@@]1(C)CO1
-7.1,C/C=C/[C@H]1C(C#CC#C/C=C/[C@@H](C)CO)=NNN1C[C@@H]1COc2ccccc2O1
